98,6,Can you show me on the map?,Se puede mostrar en el mapa
99,6,Where is the UK embassy?,¿Dónde está la embajada de Reino Unido?
100,7,How much does it cost to enter?,¿Cuánto cuesta para entrar?
101,7,What is that building?,¿Qué es ese edificio?
102,7,That’s a beautiful building,Que es un hermoso edificio
103,7,That’s a beautiful cathedral,Que es una bella catedral
104,8,I have a reservation,tengo una reserva
105,8,Do you have any double rooms available?,¿tienes alguna habitaciones disponibles?
106,8,Do you have any single rooms available?,¿tienes alguna habitación disponible?
107,8,Could I see the room?,¿Podría ver el cuarto?
108,8,I’d like to stay for … nights,Me gustaría alojarse …  noches
109,8,Is breakfast included?,¿Está el desayuno incluido?
110,8,Television,la Televisión
111,8,air conditioner,el acondicionador de aire
112,8,lamp,la lampa
113,8,The .. in my room doesn't work properly,El/La … de mi habitación no funciona correctamente
114,8,Could I get a different room?,¿Pude conseguir una habitación diferente?
115,8,Is there a restaurant here?,¿hay un restaurante aquí?
116,9,Help!,socorro
117,9,I need a Doctor,Necesito un médico
118,9,I need a police officer,Necesito a un policía
119,9,Can I use your phone,¿Puedo usar su teléfono?
120,9,Call the police!,¡Llame la policía!
121,9,Call the ambulance,¡Llame a la ambulancia!
122,9,Leave me alone!,déjame en paz
123,10,One,Uno
124,10,Two,Dos
125,10,Three,Tres
126,10,Four,Cuatro
127,10,Five,Cinco
128,10,Six,Seis
129,10,Seven,Siete
130,10,Eight,Ocho
131,10,Nine,Nueve
132,10,Ten,Diez
133,10,Twenty,Veinte
134,10,Thirty,Treinta
135,10,Forty,Cuarenta
136,10,Fifty,Cincuenta
137,10,Sixty,Sesenta
138,10,Seventy,Setenta
139,10,Eighty,Ochenta
140,10,Ninety,noventa
141,10,One Hundred,Cien
142,10,Two Hundred,Dos cientos
143,10,One Thousand,mil
144,10,Six Thousand,Seis mil
